Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.10.10.10-36.92.120.241-0-0-0,36.92.120.241,0,10.10.10.10,0,0,21/09/2021 04:45:24 PM,34491,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.97228262445276,11497.0,7011.005348735657,19511.0,6497.0,14980.0,7490.0,1404.3140674364834,8483.0,6497.0,0,0,0,0,0,0,0,0,0,0,0,86.97921196833957,28.99307065611319,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
10.10.10.10-82.119.135.65-445-62010-6,82.119.135.65,62010,10.10.10.10,445,6,21/09/2021 04:45:33 PM,594167,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3660570176398217,594167.0,0.0,594167.0,594167.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,1.6830285088199108,1.6830285088199108,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8192,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.5-225.97.5.180-0-0-0,134.221.96.5,0,225.97.5.180,0,0,21/09/2021 04:45:37 PM,23,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86956.52173913043,23.0,0.0,23.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43478.260869565216,43478.260869565216,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
10.10.10.10-112.95.82.170-8080-36978-6,112.95.82.170,36978,10.10.10.10,8080,6,21/09/2021 04:45:33 PM,3006783,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9977441005885692,1503391.5,707448.3137618606,2003633.0,1003150.0,2003633.0,2003633.0,0.0,2003633.0,2003633.0,0,0,0,0,0,0,0,0,0,80,40,0.6651627337257129,0.33258136686285644,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,14520,0,0,0,0,0,0,0,0,0,0,No Label
10.10.10.10-95.214.104.15-0-0-0,95.214.104.15,0,10.10.10.10,0,0,21/09/2021 04:45:27 PM,24950151,327,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.146213022919179,76300.15596330278,847900.0432244085,1.1064583E7,0.0,2.4950135E7,76534.15644171777,849192.9280346228,1.1064583E7,0.0,0,0,0,0,0,0,0,0,0,0,0,13.106133105166377,0.040079917752802376,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,327,0,1,0,-1,-1,0,0,1414690.5,44955.72782749713,1446479.0,1382902.0,1.0825252E7,338465.14609631523,1.1064583E7,1.0585921E7,No Label
188.226.252.130-10.10.10.10-9987-21-6,188.226.252.130,9987,10.10.10.10,21,6,21/09/2021 04:45:53 PM,819630,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4401254224467137,819630.0,0.0,819630.0,819630.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1.2200627112233569,1.2200627112233569,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
163.158.248.5-10.10.10.10-39152-8080-6,163.158.248.5,39152,10.10.10.10,8080,6,21/09/2021 04:45:24 PM,29000294,28,1,38.0,38.0,38.0,0.0,1.357142857142857,7.1813249871753175,38.0,38.0,38.0,0.0,2.6206630870707723,0.9999898621717421,1035724.7857142858,869980.8754124196,2001075.0,0.0,2.8986708E7,1073581.7777777778,862731.3232624063,2001075.0,0.0,0,0,0,0,0,0,1,0,0,896,32,0.9655074531313372,0.0344824090404049,0.0,38.0,3.799999999999999,11.594885911915856,134.44137931034481,0,0,0,1,1,0,0,0,0.0,3.9310344827586206,1.3571428571428572,38.0,0,0,0,0,0,0,28,38,1,38,-1,672,1,0,0,0,0,0,0,0,0,0,No Label
10.10.10.10-36.89.97.42-22-53-17,36.89.97.42,53,10.10.10.10,22,17,21/09/2021 04:45:30 PM,344032,1,1,1472.0,1472.0,1472.0,1472.0,1472.0,0.0,1472.0,1472.0,1472.0,0.0,8557.34350292996,5.81341270579481,344032.0,0.0,344032.0,344032.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.906706352897405,2.906706352897405,1472.0,1472.0,1472.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,2208.0,1472.0,1472.0,0,0,0,0,0,0,1,1472,1,1472,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
134.221.96.5-225.97.1.47-0-0-0,134.221.96.5,0,225.97.1.47,0,0,21/09/2021 04:45:37 PM,152,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13157.894736842105,152.0,0.0,152.0,152.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6578.9473684210525,6578.9473684210525,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
10.10.10.10-85.113.24.245-0-0-0,85.113.24.245,0,10.10.10.10,0,0,21/09/2021 04:45:32 PM,481544,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.61322745169704,68792.00000000001,176717.13570656732,469502.0,120.0,481408.0,80234.66666666667,190722.00830283502,469502.0,120.0,0,0,0,0,0,0,0,0,0,0,0,14.53657402023491,2.07665343146213,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,7,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
